ID,Date,Opponent,Is_Home_of_Away,Is_Opponent_in_AP25_Preseason,Media,Label
1,9/5/2015,Texas,0,0,1,1
2,9/12/2015,Virginia,1,0,4,1
3,9/19/2015,GeorgiaTech,0,1,1,1
4,9/26/2015,UMass,0,0,1,1
5,10/3/2015,Clemson,1,1,4,0
6,10/10/2015,Navy,0,0,1,1
7,10/17/2015,USC,0,1,1,1
8,10/31/2015,Temple,1,0,4,1
9,11/7/2015,PITT,1,0,4,1
10,11/14/2015,WakeForest,0,0,1,1
11,11/21/2015,BostonCollege,1,0,1,1
12,11/28/2015,Stanford,1,1,3,0
13,9/4/2016,Texas,1,0,4,0
14,9/10/2016,Nevada,0,0,1,1
15,9/17/2016,MichiganState,0,0,1,0
16,9/24/2016,Duke,0,0,1,0
17,10/1/2016,Syracuse,0,0,2,1
18,10/8/2016,NorthCarloinaState,1,0,4,0
19,10/15/2016,Stanford,0,1,1,0
20,10/29/2016,MiamiFlorida,0,0,1,1
21,11/5/2016,Navy,0,0,5,0
22,11/12/2016,Army,0,0,1,1
23,11/19/2016,VirginiaTech,0,1,1,0
24,11/26/2016,USC,1,1,4,0
